,No,Name,TYPE
1,2,B,Even
3,4,D,Even
5,6,F,Even
7,8,H,Even
9,10,J,Even
11,12,L,Even
13,14,N,Even
15,16,P,Even
17,18,R,Even
19,20,T,Even
21,22,V,Even
23,24,X,Even
25,26,Z,Even
27,28,,Even
29,30,,Even
31,32,,Even
33,34,,Even
35,36,,Even
37,38,,Even
39,40,,Even
41,42,,Even
43,44,,Even
45,46,,Even
47,48,,Even
49,50,,Even
51,52,,Even
53,54,,Even
55,56,,Even
57,58,,Even
59,60,,Even
61,62,,Even
63,64,,Even
65,66,,Even
67,68,,Even
69,70,,Even
71,72,,Even
73,74,,Even
75,76,,Even
77,78,,Even
79,80,,Even
81,82,,Even
83,84,,Even
85,86,,Even
87,88,,Even
89,90,,Even
91,92,,Even
93,94,,Even
95,96,,Even
97,98,,Even
99,100,,Even
